,Heating,Cooling
NYIS-ZONA,-2.842455960964019,1.4388078779124809
NYIS-ZONB,-4.238273430315091,2.7697038181840035
NYIS-ZONC,-3.8928959716831217,1.9681689736987174
NYIS-ZOND,-13.551735581951917,4.567892911202218
NYIS-ZONE,-3.845317684371041,1.821154736603367
NYIS-ZONF,-3.2297611614096398,2.212574445831284
NYIS-ZONG,-3.144777940973173,2.0209553226837964
NYIS-ZONH,-9.786139613725055,4.157572640248051
NYIS-ZONI,-4.307052213210524,2.362076263218784
NYIS-ZONJ,-2.8276824161631056,1.8186102343996873
NYIS-ZONK,-6.510286140440908,2.6652255359486055
ERCO-C,-3.1658136591737667,3.170754304673814
ERCO-E,-2.893017350476442,1.7558593020540645
ERCO-FW,-4.990795777252359,3.7470720276070226
ERCO-N,-2.4247966611357423,1.43948442525653
ERCO-NC,-4.4151261052265305,2.994231352740856
ERCO-S,-3.439643757589837,2.9625267028606785
ERCO-SC,-4.190340843385567,2.779377657618711
ERCO-W,-3.159248882316453,2.0158735476193614
CISO-PGAE,-0.7150897638194647,1.832728966265421
CISO-SCE,-1.7545901465984446,1.7135574564152773
CISO-SDGE,-1.8973905435792977,1.4731630307977381
IID,-1.8431652134825167,3.686083044802151
WALC,-173.06826136017904,64.94757594344709
LDWP,-1.7481527844471099,1.4947273157699577
TIDC,-1.2592309563496227,3.388838176035683
BANC,-1.6103494237108673,2.0030267811145515
ISNE-4000,-3.386613867255424,2.1543516389007995
ISNE-4001,-4.242268541767448,1.674586763095634
ISNE-4002,-4.443366281730115,1.7731877288219
ISNE-4003,-6.650628739890844,1.115949220316528
ISNE-4004,-3.325582218422948,2.0135955442900486
ISNE-4005,-3.9797841260638664,2.0180102979343393
