,total res,total com,heat,res heat,com heat,cool,res cool,com cool
NYIS-ZONA,123627376.45845218,52349325.430230916,17573300.999462888,12044497.716522869,5528803.282940021,127083732.90216616,89100724.55948219,37983008.34268396
NYIS-ZONB,52223074.696027644,22783807.36468686,11055973.213409498,7459183.133917896,3596790.079491603,55323568.149731964,38468417.203907296,16855150.945824664
NYIS-ZONC,99016613.45646831,45535657.48263808,22788967.176915463,15029198.503684305,7759768.6732311575,99066956.21849132,67323237.92806517,31743718.290426143
NYIS-ZOND,5848998.4922662,2044940.8996324567,1699975.4121556724,1245077.6515494233,454897.7606062491,4411675.07833649,3268821.763192196,1142853.3151442942
NYIS-ZONE,70186992.09789619,25181510.036029994,13437586.433361594,9752371.843936091,3685214.589425503,57130196.94688016,41967721.23856404,15162475.708316121
NYIS-ZONF,90365362.55480106,38104955.64547378,19146165.15691446,12931250.994752847,6214914.162161615,93834701.17875886,65645092.28422579,28189608.894533068
NYIS-ZONG,100259835.77545692,41825743.00628182,17760931.553557836,12418944.47826339,5341987.075294448,106438689.00728898,75047913.43836868,31390775.568920303
NYIS-ZONH,13687956.336210558,6099748.326437721,2275256.4524288797,1543304.8703857283,731951.5820431515,16678031.253054023,11536953.522423934,5141077.730630089
NYIS-ZONI,45892113.29680713,22043322.759717807,6959547.986886065,4618593.447034389,2340954.539851677,61218313.660966486,41408602.65072238,19809711.010244112
NYIS-ZONJ,426802160.0178019,193941887.5804831,86921622.9530758,47162382.644084826,39759240.30899096,595566029.9215529,409643792.90795165,185922237.01360124
NYIS-ZONK,195084046.56620356,85012184.41666509,18259077.937990524,12223372.290377265,6035705.647613258,250837429.3030166,174428290.0439547,76409139.25906189
ERCO-C,438758427.3489019,166314336.37570244,269153081.100475,207448940.72310886,61704140.37736617,605027753.1826123,438723655.83397627,166304097.34863603
ERCO-E,81383658.16974747,31922339.163957927,61236760.073010676,48048921.135267116,13187838.937743558,113251119.78910571,81343834.85150565,31907284.937600058
ERCO-FW,30616386.406777177,12456741.406800218,18370173.610173233,14204708.586869964,4165465.0233032703,43041007.307739966,30593191.47758097,12447815.830158995
ERCO-N,57165317.87254029,23275950.628295112,34202090.77395345,26501106.141129777,7700984.632823679,80155427.36292878,56961533.67015608,23193893.692772694
ERCO-NC,542050504.9071732,229335671.97771618,394855471.77486646,300756387.100576,94099084.67429048,771097586.3784261,541836916.6376947,229260669.74073133
ERCO-S,136427973.7316163,48747058.423857406,130118504.59135342,103564366.40684813,26554138.18450528,185173594.58647472,136426884.2357002,48746710.35077451
ERCO-SC,304719859.92276776,111474870.29562251,213349281.32584906,169822777.05707535,43526504.26877371,416136919.3036893,304676782.5902417,111460136.71344763
ERCO-W,50107579.289304405,20514333.958777763,36727691.186950035,28438750.631942865,8288940.555007174,70579442.01622263,50077644.17206937,20501797.844153248
CISO-PGAE,783589995.0395577,286333109.038832,262723418.95129028,189874561.3315073,72848857.61978298,745136633.8256847,555409725.6769754,189726908.14870927
CISO-SCE,788544326.7269839,306865756.3471873,215477310.02875155,152927715.05559483,62549594.97315673,1024920664.6551173,739226064.3084993,285694600.34661794
CISO-SDGE,196905974.79747322,77308565.08501957,75747601.57497182,53493477.73738487,22254123.837586958,241543719.70268747,174257453.89545384,67286265.80723363
IID,17189731.349183228,4501805.983103923,8947208.865149245,7034500.5213430505,1912708.3438061944,21660240.34489873,17165061.153180126,4495179.1917186035
WALC,1405392.3781938015,333017.18242019415,582837.266572775,478951.333651724,103885.93292105099,1738220.6088948867,1405245.493190114,332975.11570477276
LDWP,200062316.42526615,106126899.86574228,82978697.18276966,52795715.10158511,30182982.08118454,291160912.48367476,190432287.89104947,100728624.59262529
TIDC,9878041.914163157,2814788.6120133,3326363.0325818625,2592159.9460612074,734203.086520655,12581187.879631469,9791333.10716818,2789854.7724632877
BANC,114619146.82796922,36766585.93205598,43600001.286694,32769964.657084204,10830036.629609793,148888684.05910048,112715953.86241443,36172730.19668604
ISNE-4000,473770713.84728384,156705563.13981113,99162546.3732054,71200758.64655852,27961787.726646867,489426633.2420211,366866391.4317248,122560241.81029628
ISNE-4001,128012497.18735954,29089142.221585397,10815413.0718687,8549275.671974532,2266137.399894169,82142410.97424048,66793252.18392687,15349158.790313603
ISNE-4002,114858931.28241567,29518408.80044064,13150699.4201164,10254362.23137882,2896337.18873758,95634095.04241681,75928190.58347172,19705904.458945103
ISNE-4003,58506160.20180186,16176818.503429128,4028317.4784452724,3057966.7677920386,970350.7106532338,42614752.2312361,33339472.290745866,9275279.94049023
ISNE-4004,283253235.8203031,85251866.64218004,60092108.42912041,45238642.88781245,14853465.541307956,306551184.06941664,235123308.089268,71427875.98014863
ISNE-4005,84168106.4916683,23514157.157383222,11259419.513173409,8651800.108949237,2607619.4042241727,88033873.1413551,68737489.04343978,19296384.09791533
